Street,District
Śmiała,Nowe Miasto
Śmiełowska,Wilda
Śmigi,Nowe Miasto
Śmigielska,Grunwald
Smoka Wawelskiego,Grunwald
Smołdzinowska,Nowe Miasto
Smoleńska,Stare Miasto
Smolna,Nowe Miasto
Śniadeckich,Grunwald
Śnieżna,Stare Miasto
Snopowa,Nowe Miasto
Sobiesława,Nowe Miasto
Sobolowa,Nowe Miasto
Sobotecka,Grunwald
Sochaczewska,Jeżyce
Sofii Lutosławskiej,Jeżyce
Sofoklesa,Jeżyce
Sokalska,Nowe Miasto
Sokoła,Jeżyce
Solecka,Nowe Miasto
Solna,Stare Miasto
Sołtysia,Stare Miasto
Sopocka,Jeżyce
Soroki,Grunwald
Sośnicka,Nowe Miasto
Sosnowa,Wilda
Sowia,Nowe Miasto
Sowice,Nowe Miasto
Spacerowa,Jeżyce
Spadochronowa,Jeżyce
Spadzista,Wilda
Spichrzowa,Wilda
Śpiewaków,Jeżyce
Spławie,Nowe Miasto
Spokojna,Stare Miasto
Sporna,Stare Miasto
Sportowa,Wilda
Srebrna,Grunwald
Średnia,Nowe Miasto
Średzka,Nowe Miasto
Śremska,Nowe Miasto
Śródka,Nowe Miasto
Stalowa,Nowe Miasto
Stanisława Broniewskiego,Jeżyce
Stanisława Czernika,Grunwald
Stanisława Dygata,Jeżyce
Stanisława Grochowiaka,Jeżyce
Stanisława Grzmota-Skotnickiego,Stare Miasto
Stanisława Hejmowskiego,Stare Miasto
Stanisława Jachowicza,Grunwald
Stanisława Jakiela,Jeżyce
Stanisława Karwowskiego,Grunwald
Stanisława Knapowskiego,Grunwald
Stanisława Konarskiego,Nowe Miasto
Stanisława Królickiego,Jeżyce
Stanisława Kunickiego,Wilda
Stanisława Latwisa,Jeżyce
Stanisława Lema,Jeżyce
Stanisława Małachowskiego,Nowe Miasto
Stanisława Matyi,Stare Miasto
Stanisława Matyi,Wilda
Stanisława Niedbalskiego,Wilda
Stanisława Pawłowskiego,Stare Miasto
Stanisława Przybyszewskiego,Grunwald
Stanisława Przybyszewskiego,Jeżyce
Stanisława Rostworowskiego,Jeżyce
Stanisława Rungego,Stare Miasto
Stanisława Skalskiego,Jeżyce
Stanisława Skarżyńskiego,Jeżyce
Stanisława Staszica,Jeżyce
Stanisława Strugarka,Stare Miasto
Stanisława Szczepanowskiego,Jeżyce
Stanisława Taczaka,Stare Miasto
Stanisława Wachowiaka,Stare Miasto
Stanisława Wiechowicza,Stare Miasto
Stanisława Wigury,Jeżyce
Stanisława Worcella,Wilda
Stanisława Wyspiańskiego,Grunwald
Stanisława Zwierzchowskiego,Nowe Miasto
Stara Cegielnia,Grunwald
Starachowicka,Nowe Miasto
Starkowska,Nowe Miasto
Starogardzka,Jeżyce
Starołęcka,Nowe Miasto
Starosądecka,Nowe Miasto
Starowiejska,Stare Miasto
Startowa,Jeżyce
Stary Rynek,Stare Miasto
Staszowska,Nowe Miasto
Stawna,Stare Miasto
Stefana Balickiego,Grunwald
Stefana Czarnieckiego,Wilda
Stefana Drzewieckiego,Jeżyce
Stefana Grota-Roweckiego,Stare Miasto
Stefana Jaracza,Grunwald
Stefana Kisielewskiego,Jeżyce
Stefana Okrzei,Wilda
Stefana Poradowskiego,Stare Miasto
Stefana Różyckiego,Grunwald
Stefana Stoińskiego,Stare Miasto
Stefana Szolca-Rogozińskiego,Nowe Miasto
Stefana Vrtela-Wierczyńskiego,Stare Miasto
Stefana Żeromskiego,Jeżyce
Stefanii Sempołowskiej,Wilda
Stefanii Wojtulanis-Karpińskiej,Jeżyce
Stefanii Wołynki,Nowe Miasto
Sterowa,Jeżyce
Stęszewska,Grunwald
Stewnicka,Nowe Miasto
Stobnicka,Jeżyce
Stobrawska,Wilda
Stokrotkowa,Grunwald
Stolarska,Grunwald
Storczykowa,Grunwald
Straży Ludowej,Jeżyce
Strykowska,Grunwald
Strzałkowska,Nowe Miasto
Strzałowa,Stare Miasto
Strzecha,Grunwald
Strzegomska,Grunwald
Strzelca,Nowe Miasto
Strzelecka,Stare Miasto
Strzelińska,Grunwald
Strzeszyńska,Jeżyce
Strzyżowska,Nowe Miasto
Studzienna,Nowe Miasto
Sucha,Nowe Miasto
Sucholeska,Jeżyce
Sulechowska,Wilda
Suliszewska,Jeżyce
Sułkowicka,Nowe Miasto
Sulmierzycka,Grunwald
Sułowska,Jeżyce
Suwalska,Jeżyce
św. Antoniego,Nowe Miasto
św. Barbary,Stare Miasto
św. Czesława,Wilda
św. Floriana,Jeżyce
św. Jacka,Nowe Miasto
św. Jerzego,Wilda
św. Kingi,Nowe Miasto
św. Leonarda,Jeżyce
św. Marii Magdaleny,Stare Miasto
św. Michała,Nowe Miasto
św. Rocha,Nowe Miasto
św. Stanisława,Jeżyce
św. Szczepana,Wilda
św. Trójcy,Wilda
św. Wawrzyńca,Jeżyce
św. Wincentego,Nowe Miasto
Swantibora,Nowe Miasto
Swarożyca,Stare Miasto
Swarzędzka,Nowe Miasto
Świątniczki,Nowe Miasto
Światopełka,Nowe Miasto
Świdnicka,Grunwald
Świebodzińska,Grunwald
Święciańska,Nowe Miasto
Świecka,Jeżyce
Świeradowska,Jeżyce
Świerkowa,Wilda
Świerzawska,Grunwald
Świetlana,Grunwald
Świetlikowa,Stare Miasto
Świętochny,Nowe Miasto
Świętogórska,Grunwald
Świętojańska,Nowe Miasto
Świętosławska,Stare Miasto
Świętowidzka,Nowe Miasto
Święty Marcin,Stare Miasto
Święty Wojciech,Stare Miasto
Świt,Grunwald
Swoboda,Grunwald
Swojska,Jeżyce
Sycowska,Grunwald
Sycylijska,Stare Miasto
Synów Pułku,Jeżyce
Sypniewo,Nowe Miasto
Syrenia,Nowe Miasto
Sytkowska,Jeżyce
Szadecka,Grunwald
Szafirowa,Jeżyce
Szaflarska,Jeżyce
Szafranowa,Jeżyce
Szalupowa,Jeżyce
Szałwiowa,Stare Miasto
Szamocińska,Wilda
Szamotulska,Grunwald
Szamotulska,Jeżyce
Szantowa,Jeżyce
Szarotkowa,Grunwald
Szarych Szeregów,Jeżyce
Szczawiowa,Stare Miasto
Szczawnicka,Jeżyce
Szczecińska,Grunwald
Szczepankowo,Nowe Miasto
Szczęsna,Jeżyce
Szczęsnego Dettloffa,Stare Miasto
Szczytnicka,Nowe Miasto
Szeherezady,Grunwald
Szelągowska,Stare Miasto
Szewska,Stare Miasto
Szklarniowa,Stare Miasto
Szkolna,Stare Miasto
Szkunerowa,Jeżyce
Szkutnicza,Jeżyce
Szlachecka,Stare Miasto
Szmaragdowa,Stare Miasto
Szopienicka,Nowe Miasto
Szpaków,Nowe Miasto
Szparagowa,Nowe Miasto
Szpinakowa,Nowe Miasto
Szpitalna,Jeżyce
Szreniawska,Grunwald
Szronowa,Grunwald
Sztormowa,Jeżyce
Szubińska,Wilda
Szuwarowa,Grunwald
Szwajcarska,Nowe Miasto
Szwedzka,Nowe Miasto
Szybowcowa,Jeżyce
Szydłowiecka,Nowe Miasto
Szydłowska,Jeżyce
Szymborska,Grunwald
Szyperska,Stare Miasto
Taborowa,Grunwald
Tadeusza Boya-Żeleńskiego,Jeżyce
Tadeusza Gajcego,Jeżyce
Tadeusza Kościuszki,Stare Miasto
Tadeusza Kotarbińskiego,Wilda
Tadeusza Mikke,Jeżyce
Tadeusza Rejtana,Jeżyce
Tadeusza Rugego,Jeżyce
Tadeusza Szeligowskiego,Stare Miasto
Tadeusza Vetulaniego,Wilda
Tanewska,Jeżyce
Tarczowa,Grunwald
Tarninowa,Wilda
Tarnobrzeska,Nowe Miasto
Tarnowska,Nowe Miasto
Tatarakowa,Stare Miasto
Tatrzańska,Jeżyce
Tczewska,Jeżyce
Tęczowa,Grunwald
Templińska,Grunwald
Teodora Parnickiego,Jeżyce
Teodora Tyca,Wilda
Teofila Mateckiego,Stare Miasto
Teokryta,Jeżyce
Terespolska,Nowe Miasto
Teresy Remiszewskiej,Jeżyce
Termalna,Nowe Miasto
Ternicka,Nowe Miasto
Tokarska,Wilda
Tomasza Drobnika,Stare Miasto
Tomasza Zana,Stare Miasto
Tomaszowska,Nowe Miasto
Tony Halika,Nowe Miasto
Topazowa,Stare Miasto
Topolowa,Wilda
Torfowa,Grunwald
Toropiecka,Stare Miasto
Torowa,Nowe Miasto
Toruńska,Nowe Miasto
Toskańska,Stare Miasto
Towarowa,Stare Miasto
Trębacka,Grunwald
Treblińska,Nowe Miasto
Trocka,Nowe Miasto
Trójpole,Stare Miasto
Truskawiecka,Jeżyce
Truskawkowa,Nowe Miasto
Trybunalska,Grunwald
Trzcianecka,Jeżyce
Trzebawska,Grunwald
Trzebiatowska,Jeżyce
Trzebińska,Grunwald
Trzemeszeńska,Nowe Miasto
Tucholska,Jeżyce
Tulipanowa,Grunwald
Turkusowa,Jeżyce
Turniowa,Grunwald
Turystyczna,Jeżyce
Twardogórska,Grunwald
Tyczyńska,Nowe Miasto
Tylicka,Jeżyce
Tylne Chwaliszewo,Stare Miasto
Tymiankowa,Stare Miasto
Tyniecka,Grunwald
Tyrwacka,Stare Miasto
Tyska,Jeżyce
Ugory,Stare Miasto
Ułańska,Grunwald
Umultowska,Stare Miasto
Unii Lubelskiej,Nowe Miasto
Unisława,Nowe Miasto
Uprawna,Nowe Miasto
Uradzka,Grunwald
Urbanowska,Jeżyce
Urocza,Stare Miasto
Urodzajna,Nowe Miasto
Urszulanek,Nowe Miasto
Urszuli Ledóchowskiej,Jeżyce
Urwista,Nowe Miasto
Ustronna,Grunwald
Ustrońska,Wilda
Ustrzycka,Nowe Miasto
Uświacka,Stare Miasto
Uzdrowiskowa,Jeżyce
Uznamska,Nowe Miasto
Wacława Gieburowskiego,Stare Miasto
Wacława Rzewuskiego,Nowe Miasto
Wacława Strażewicza,Stare Miasto
Wadowicka,Nowe Miasto
Wagi,Nowe Miasto
Wągrowiecka,Grunwald
Wagrowska,Nowe Miasto
Wałbrzyska,Grunwald
Wałecka,Jeżyce
Walentego Stefańskiego,Wilda
Walerego Wróblewskiego,Wilda
Wandy,Nowe Miasto
Wandy Modlibowskiej,Grunwald
Waniliowa,Stare Miasto
Warecka,Nowe Miasto
Warmińska,Jeżyce
Warowna,Nowe Miasto
Warpińska,Nowe Miasto
Warpnowska,Jeżyce
Warszawska,Nowe Miasto
Warzywna,Stare Miasto
Wąska,Jeżyce
Wawerska,Grunwald
Wąwozowa,Grunwald
Wawrzyńca Engestroma,Jeżyce
Wczasowa,Nowe Miasto
Wdzięczna,Nowe Miasto
Węglowa,Grunwald
Węgorzewska,Jeżyce
Wejherowska,Jeżyce
Wenecjańska,Stare Miasto
Wenedów,Stare Miasto
Wergiliusza,Jeżyce
Wesoła,Jeżyce
Wiankowa,Nowe Miasto
Wiatraczna,Nowe Miasto
Wiązowa,Wilda
Wichrowa,Jeżyce
Widawska,Nowe Miasto
Widłakowa,Stare Miasto
Widna,Jeżyce
Widok,Grunwald
Wiece,Jeżyce
Wieczorynki,Grunwald
Wiedeńska,Stare Miasto
Wiejska,Nowe Miasto
Wielecka,Nowe Miasto
Wielichowska,Wilda
Wielka,Stare Miasto
Wielkołucka,Stare Miasto
Wieluńska,Wilda
Wieprawska,Nowe Miasto
Wierchowa,Jeżyce
Wieruszowska,Grunwald
Wierzbięcice,Wilda
Wierzbowa,Stare Miasto
Wiesiołkowa,Stare Miasto
Wiesławy,Nowe Miasto
Wietrzna,Stare Miasto
Wietrzykowskich,Jeżyce
Wiewiórcza,Nowe Miasto
Wieżowa,Nowe Miasto
Więzowska,Wilda
Wiklinowa,Wilda
Wiktora Degi,Stare Miasto
Wiktora Gosienieckiego,Wilda
Wiktora Jankowskiego,Nowe Miasto
Wiktora Pacajewa,Stare Miasto
Wilanowska,Stare Miasto
Wilcza,Nowe Miasto
Wilczak,Stare Miasto
Wileńska,Nowe Miasto
Wileńska,Stare Miasto
Wilhelma Grimma,Grunwald
Wilkońskich,Jeżyce
Wilków Morskich,Jeżyce
Willowa,Jeżyce
Wincentego Jezierskiego,Stare Miasto
Wincentego Kadłubka,Jeżyce
Wincentego Pstrowskiego,Nowe Miasto
Wincentego Rapackiego,Grunwald
Wincentego Różańskiego,Jeżyce
Wincentego Styczyńskiego,Wilda
Wincentego Witosa,Jeżyce
Winiarska,Jeżyce
Winna,Stare Miasto
Winogrady,Stare Miasto
Winogronowa,Nowe Miasto
Wiosenna,Jeżyce
Wioślarska,Nowe Miasto
Wirska,Jeżyce
Wiślana,Jeżyce
Wiślicka,Nowe Miasto
Wisłocka,Jeżyce
Wiśniowa,Wilda
Witebska,Stare Miasto
Witkowska,Nowe Miasto
Witnicka,Grunwald
Witolda Gombrowicza,Jeżyce
Witolda Pileckiego,Jeżyce
Witosława,Nowe Miasto
Wituchowska,Jeżyce
Władymira,Nowe Miasto
Władysława Bełzy,Grunwald
Władysława Biegańskiego,Stare Miasto
Władysława Bortnowskiego,Stare Miasto
Władysława Kotwicza,Nowe Miasto
Władysława Kozłowskiego,Stare Miasto
Władysława Nehringa,Grunwald
Władysława Orkana,Wilda
Władysława Pniewskiego,Stare Miasto
Władysława Reymonta,Grunwald
Władysława Sikorskiego,Wilda
Władysława Syrokomli,Stare Miasto
Władysława Węgorka,Grunwald
Władysława Wołkowa,Stare Miasto
Władysława Zamoyskiego,Wilda
Włocławska,Nowe Miasto
Włodarska,Stare Miasto
Włodzimierza Majakowskiego,Nowe Miasto
Włościańska,Stare Miasto
Włoszakowicka,Wilda
Wodna,Stare Miasto
Wodnika,Nowe Miasto
Wojciecha Bąka,Grunwald
Wojciecha Bogusławskiego,Grunwald
Wojciecha Cybulskiego,Grunwald
Wojciecha Korfantego,Wilda
Wojnowicka,Grunwald
Wojska Polskiego,Jeżyce
Wojskowa,Grunwald
Wójtowska,Stare Miasto
Wolbromska,Nowe Miasto
Wołczyńska,Grunwald
Wolińska,Jeżyce
Wołkowyska,Nowe Miasto
Wolne Tory,Wilda
Wolnica,Stare Miasto
Wołowska,Grunwald
Wolska,Grunwald
Wolsztyńska,Grunwald
Wołyńska,Jeżyce
Wonna,Jeżyce
Woźna,Stare Miasto
Woźnicka,Grunwald
Wrocławska,Stare Miasto
Wronczyńska,Grunwald
Wroniecka,Stare Miasto
Wrotyczowa,Stare Miasto
Wrzesińska,Nowe Miasto
Wrzosowa,Wilda
Wschodnia,Nowe Miasto
Wschowska,Grunwald
Wspólna,Wilda
Wszystkich Świętych,Stare Miasto
Wybieg,Nowe Miasto
Wygon,Nowe Miasto
Wykopy,Grunwald
Wyłom,Stare Miasto
Wypoczynkowa,Jeżyce
Wyrzyska,Jeżyce
Wysoka,Stare Miasto
Wyszeborska,Grunwald
Wyszomierska,Grunwald
Wyzwolenia,Nowe Miasto
Wyżyny,Stare Miasto
Wzgórze św. Wojciecha,Stare Miasto
Wzlotowa,Jeżyce
Xawerego Dunikowskiego,Wilda
Za Bramką,Stare Miasto
Za Cybiną,Nowe Miasto
Za Cytadelą,Stare Miasto
Za Groblą,Stare Miasto
Żabia,Grunwald
Ząbkowicka,Grunwald
Zaborowska,Nowe Miasto
Zabrzańska,Nowe Miasto
Zachodnia,Grunwald
Zacisze,Jeżyce
Zagajnikowa,Stare Miasto
Żagańska,Grunwald
Żaglowa,Jeżyce
Zagonowa,Stare Miasto
Zagórze,Nowe Miasto
Zagórzycka,Jeżyce
Zagrodnicza,Stare Miasto
Zajęcza,Nowe Miasto
Zakątek,Grunwald
Zaklikowska,Nowe Miasto
Zakopiańska,Jeżyce
Zakręt,Grunwald
Zakrzewska,Jeżyce
Załęże,Grunwald
Zambrowska,Nowe Miasto
Zamiejska,Grunwald
Zamknięta,Grunwald
Zamkowa,Stare Miasto
Zamojska,Nowe Miasto
Zamysłowska,Grunwald
Zaniemyska,Nowe Miasto
Żarnowiecka,Jeżyce
zaułek Ślepego Antka,Stare Miasto
Zawady,Nowe Miasto
Zawiertowska,Nowe Miasto
Zawilcowa,Grunwald
Zbąszyńska,Grunwald
Zbigniewa Burzyńskiego,Jeżyce
Zbigniewa Herberta,Jeżyce
Zbigniewa Kiedacza,Wilda
Żbikowa,Nowe Miasto
Zbożowa,Stare Miasto
Zbyłowita,Nowe Miasto
Zbyszka,Nowe Miasto
Zdobywców Monte Cassino,Stare Miasto
Zdrojowa,Nowe Miasto
Zdunowska,Nowe Miasto
Zdziechowska,Grunwald
Zdzisława Dworzeckiego,Jeżyce
Zdzisławy,Nowe Miasto
Żegiestowska,Jeżyce
Żeglarska,Nowe Miasto
Żegrze,Nowe Miasto
Żelazna,Nowe Miasto
Zemborzycka,Nowe Miasto
Żeńców,Nowe Miasto
Zenona Kosidowskiego,Grunwald
Żerkowska,Wilda
Zgierska,Grunwald
Zgoda,Grunwald
Zgorzelecka,Grunwald
Ziarnista,Stare Miasto
Ziębicka,Grunwald
Zieleńska,Nowe Miasto
Zieliniec,Nowe Miasto
Zielona,Stare Miasto
Ziemowita,Nowe Miasto
Ziemska,Nowe Miasto
Zimorodka,Nowe Miasto
Zimowa,Jeżyce
Zjazd,Jeżyce
Żlebowa,Wilda
Złocieniecka,Grunwald
Złocieniowa,Stare Miasto
Złota,Jeżyce
Złotej Kaczki,Grunwald
Złotnicka,Jeżyce
Złotowska,Grunwald
Zmartwychwstańców,Wilda
Żmigrodzka,Grunwald
Żmudzka,Jeżyce
Żnińska,Jeżyce
Żniwna,Stare Miasto
Zodiakowa,Nowe Miasto
Zofii Nałkowskiej,Jeżyce
Zofii Sokolnickiej,Jeżyce
Żołnierzy Górników,Jeżyce
Żołnierzy Lenino,Stare Miasto
Żołnierzy Narwiku,Stare Miasto
Żołnierzy Wyklętych,Jeżyce
Żonkilowa,Grunwald
Żorska,Nowe Miasto
Zorza,Grunwald
Źródlana,Jeżyce
Żukowska,Jeżyce
Żuławska,Jeżyce
Żurawia,Jeżyce
Żurawicka,Nowe Miasto
Żurawinowa,Wilda
Żuromińska,Jeżyce
Związku Walki Zbrojnej,Stare Miasto
Zwierzyniecka,Jeżyce
Żwirowa,Grunwald
Zwoleńska,Nowe Miasto
Zwrotnicza,Grunwald
Żydowska,Stare Miasto
Zygmunta Berlinga,Stare Miasto
Zygmunta Krasińskiego,Jeżyce
Zygmunta Kubiaka,Jeżyce
Zygmunta Lisowskiego,Stare Miasto
Zygmunta Noskowskiego,Stare Miasto
Zygmunta Szweykowskiego,Stare Miasto
Zygmunta Warczygłowy,Nowe Miasto
Zygmunta Wojciechowskiego,Stare Miasto
Zygmunta Zaleskiego,Jeżyce
Zygmunta Żuraszka,Jeżyce
Żytnia,Stare Miasto
Żywiczna,Nowe Miasto
Żywiecka,Nowe Miasto
Żywocicka,Grunwald
Żywokostowa,Stare Miasto
Żyzna,Nowe Miasto
Armii Krajowej,Nowe Miasto
Bajkowe,Grunwald
Bohaterów II Wojny Światowej,Nowe Miasto
Bolesława Chrobrego,Stare Miasto
Bolesława Śmiałego,Stare Miasto
Czecha,Nowe Miasto
Dębina,Wilda
Hetmańskie,Grunwald
Jagiellońskie,Nowe Miasto
Jana III Sobieskiego,Stare Miasto
Kosmonautów,Stare Miasto
ks. Jerzego Popiełuszki,Grunwald
Lecha,Nowe Miasto
Lotnictwa Polskiego,Jeżyce
Lotników Wielkopolskich,Jeżyce
Marysieńki,Stare Miasto
Mikołaja Kopernika,Grunwald
Na Murawie,Stare Miasto
Orła Białego,Nowe Miasto
Oświecenia,Nowe Miasto
Piastowskie,Nowe Miasto
Pod Lipami,Stare Miasto
Polan,Nowe Miasto
Powstań Narodowych,Nowe Miasto
Powstańców Śląskich,Wilda
Powstańców Warszawy,Stare Miasto
Przemysława,Nowe Miasto
Przyjaźni,Stare Miasto
Rusa,Nowe Miasto
Rzeczypospolitej,Nowe Miasto
Słowiańskie,Jeżyce
Stare Żegrze,Nowe Miasto
Stefana Batorego,Stare Miasto
Tysiąclecia,Nowe Miasto
Warszawskie,Nowe Miasto
Wichrowe Wzgórze,Stare Miasto
Winiary,Jeżyce
Władysława Jagiełły,Stare Miasto
Władysława Łokietka,Stare Miasto
Zodiak,Nowe Miasto
Zwycięstwa,Stare Miasto
Zygmunta Starego,Stare Miasto
Osiedle Armii Krajowej,Nowe Miasto
Osiedle Bajkowe,Grunwald
Osiedle Bohaterów II Wojny Światowej,Nowe Miasto
Osiedle Bolesława Chrobrego,Stare Miasto
Osiedle Bolesława Śmiałego,Stare Miasto
Osiedle Czecha,Nowe Miasto
Osiedle Dębina,Wilda
Osiedle Hetmańskie,Grunwald
Osiedle Jagiellońskie,Nowe Miasto
Osiedle Jana III Sobieskiego,Stare Miasto
Osiedle Kosmonautów,Stare Miasto
Osiedle ks. Jerzego Popiełuszki,Grunwald
Osiedle Lecha,Nowe Miasto
Osiedle Lotnictwa Polskiego,Jeżyce
Osiedle Lotników Wielkopolskich,Jeżyce
Osiedle Marysieńki,Stare Miasto
Osiedle Mikołaja Kopernika,Grunwald
Osiedle Na Murawie,Stare Miasto
Osiedle Orła Białego,Nowe Miasto
Osiedle Oświecenia,Nowe Miasto
Osiedle Piastowskie,Nowe Miasto
Osiedle Pod Lipami,Stare Miasto
Osiedle Polan,Nowe Miasto
Osiedle Powstań Narodowych,Nowe Miasto
Osiedle Powstańców Śląskich,Wilda
Osiedle Powstańców Warszawy,Stare Miasto
Osiedle Przemysława,Nowe Miasto
Osiedle Przyjaźni,Stare Miasto
Osiedle Rusa,Nowe Miasto
Osiedle Rzeczypospolitej,Nowe Miasto
Osiedle Słowiańskie,Jeżyce
Osiedle Stare Żegrze,Nowe Miasto
Osiedle Stefana Batorego,Stare Miasto
Osiedle Tysiąclecia,Nowe Miasto
Osiedle Warszawskie,Nowe Miasto
Osiedle Wichrowe Wzgórze,Stare Miasto
Osiedle Winiary,Jeżyce
Osiedle Władysława Jagiełły,Stare Miasto
Osiedle Władysława Łokietka,Stare Miasto
Osiedle Zodiak,Nowe Miasto
Osiedle Zwycięstwa,Stare Miasto
Osiedle Zygmunta Starego,Stare Miasto